12,28.06,31.44,27.12,27.38,22.31,27.12
42,0.00,28.62,27.12,27.38,22.38,27.12
72,26.44,27.56,27.12,27.38,22.25,27.19
102,31.31,27.50,27.19,27.38,22.31,27.19
132,27.69,27.44,27.19,27.31,22.31,27.12
162,27.44,27.31,27.12,27.31,22.31,27.19
192,27.31,27.25,27.12,27.25,22.38,27.19
222,27.25,27.19,27.12,27.31,22.38,27.12
252,27.25,27.19,27.06,27.25,22.44,27.12
282,27.25,27.12,27.06,27.25,22.38,27.12
312,27.25,27.19,27.06,27.25,22.44,27.12
342,27.19,27.12,27.00,27.25,22.38,27.12
372,27.19,27.12,27.00,27.25,22.38,27.12
402,27.25,27.12,27.06,27.25,22.44,27.12
432,27.25,27.12,27.00,27.19,22.44,27.12
462,27.19,27.12,27.00,27.25,22.44,27.12
492,27.19,27.12,27.00,27.25,22.44,27.12
522,27.19,27.12,27.00,27.25,22.44,27.12
552,27.19,27.12,27.00,27.25,22.50,27.12
582,27.19,27.19,27.06,27.25,22.44,27.12
612,27.25,27.19,27.12,27.31,22.44,27.12
642,27.25,27.19,27.19,27.31,22.25,27.19
672,27.25,27.19,27.19,27.31,22.25,27.19
702,27.25,27.19,27.19,27.31,22.38,27.19
732,27.31,27.25,27.19,27.31,22.38,27.25
762,27.31,27.25,27.19,27.31,22.31,27.25
792,27.31,27.25,27.25,27.38,22.25,27.25
822,27.31,27.25,27.25,27.38,22.25,27.25
852,27.38,27.25,27.31,27.38,22.25,27.25
882,27.31,27.25,27.25,27.38,22.25,27.25
912,27.31,27.25,27.25,27.38,22.31,27.19
942,27.31,27.25,27.25,27.38,22.25,27.25
972,27.31,27.25,27.25,27.38,22.31,27.19
1002,27.31,27.25,27.25,27.38,22.38,27.19
1032,27.31,27.31,27.25,27.38,22.31,27.12
1062,27.38,27.31,27.25,27.38,22.31,27.12
1092,27.31,27.31,27.25,27.38,22.25,27.12
1122,27.38,27.31,27.25,27.38,22.25,27.12
1152,27.31,27.25,27.31,27.38,22.25,27.12
1182,27.31,27.25,27.31,27.38,22.31,27.19
1212,27.31,27.25,27.25,27.38,22.31,27.19
1242,27.38,27.31,27.31,27.38,22.25,27.25
1272,27.38,27.31,27.31,27.38,22.25,27.25
1302,27.38,27.31,27.31,27.38,22.25,27.19
1332,27.38,27.31,27.31,27.38,22.31,27.19
1362,27.31,27.25,27.25,27.38,22.25,27.19
1392,27.38,27.25,27.31,27.31,22.31,27.19
1422,27.38,27.25,27.31,27.38,22.50,27.25
1452,27.38,27.31,27.31,27.38,22.44,27.25
1482,27.38,27.31,27.31,27.38,22.62,27.25
1512,27.38,27.31,27.31,27.38,22.50,27.25
1542,27.31,27.31,27.31,27.38,22.44,27.19
1572,27.31,27.31,27.31,27.38,22.38,27.19
1602,27.31,27.25,27.31,27.38,22.38,27.19
1632,27.31,27.25,27.25,27.38,22.38,27.19
1662,27.38,27.31,27.31,27.38,22.31,27.19
1692,27.38,27.31,27.25,27.38,22.44,27.19
1722,27.31,27.31,27.25,27.38,22.44,27.19
1752,27.31,27.31,27.31,27.38,22.50,27.19
1782,27.31,27.25,27.25,27.31,22.50,27.12
1812,27.31,27.31,27.25,27.31,22.69,27.19
1842,27.31,27.25,27.25,27.38,22.56,27.19
1872,27.31,27.31,27.25,27.38,22.62,27.19
1902,27.38,27.31,27.25,27.38,22.56,27.25
1932,27.38,27.31,27.25,27.38,22.75,27.19
1962,27.38,27.31,27.25,27.38,22.69,27.25
1992,27.38,27.31,27.31,27.38,22.62,27.25
2022,27.31,27.31,27.25,27.38,22.56,27.25
2052,27.38,27.31,27.25,27.38,22.56,27.25
2082,27.31,27.31,27.19,27.31,22.44,27.25
2112,27.31,27.31,27.25,27.31,22.62,27.25
2142,27.31,27.25,27.19,27.38,22.62,27.25
2172,27.31,27.25,27.12,27.31,22.56,27.19
2202,27.31,27.25,27.12,27.31,22.62,27.25
2232,27.31,27.25,27.12,27.31,22.56,27.25
2262,27.31,27.25,27.06,27.31,22.56,27.25
2292,27.31,27.31,27.12,27.31,22.56,27.25
2322,27.31,27.31,27.12,27.31,22.56,27.25
2352,27.31,27.25,27.19,27.31,22.56,27.25
2382,27.31,27.25,27.19,27.31,22.50,27.25
2412,27.38,27.31,27.25,27.38,22.50,27.31
2442,27.31,27.31,27.25,27.31,22.56,27.25
2472,27.38,27.31,27.19,27.38,22.50,27.25
